category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0020672	vascular occlusion disorder	A disorder characterized by occlusion of blood vessels. It differs from thrombosis in that it can be used to describe any form of blockage, not just one formed by a clot.	vascular occlusion	mondo:obsoletion_candidate; mondo:otar	
MONDO:0024296	vascular neoplasm	A benign, intermediate, or malignant neoplasm arising from vascular tissue including arteries, veins, venous sinuses, lymphatic vessels, arterioles and capillaries. It may occur in essentially any body location and is characterized by the presence of vascular channel formation and endothelial cells.	tumour of vascular system; neoplasm of vascular system; vascular tumour; vascular system neoplasm (disease); vascular system tumor; neoplasms, vascular; vascular tissue tumor; neoplasm of vascular tissue; vascular neoplasms; vascular tissue tumour; vascular tissue neoplasm; tumour of vascular tissue; vascular system tumour; tumor of vascular system; vascular tumours; vascular neoplasm; tumor of vascular tissue; vascular tumor; tumors, vascular; vascular tumors; vascular system neoplasm	mondo:otar	NCIT:C7388; UMLS:C0282607; MEDGEN:129202
MONDO:0024291	vascular malformation	A non-neoplastic disorder that is the result of defects of vascular morphogenesis.	vascular malformation	mondo:otar	NANDO:2100295; EFO:0006888; MESH:D054079; UMLS:C0158570; MEDGEN:56387
MONDO:0020674	vascular insufficiency disorder		vascular insufficiency	mondo:otar	SCTID:86341008; UMLS:C0232352; MEDGEN:534461
MONDO:0003159	vascular hemostatic disease	Pathological processes involving the integrity of blood circulation. Hemostasis depends on the integrity of blood vessels, blood fluidity, and blood coagulation. Majority of the hemostatic disorders are caused by disruption of the normal interaction between the vascular endothelium, the plasma proteins (including blood coagulation factors), and platelets.	hemostatic disorder; hemostatic disorders, vascular; hemostatic disorder, vascular; disorders, vascular hemostatic; vascular hemostatic disorder; disorder, vascular hemostatic; vascular hemostatic disorders	mondo:rare; mondo:gard_rare; mondo:otar	UMLS:C0600502; DOID:484; MEDGEN:154721; MESH:D020141; SCTID:21112004
MONDO:0021658	vascular ectasia		vascular ectasia	mondo:otar	NCIT:C45481; UMLS:C0002959; MEDGEN:8080
MONDO:0005385	vascular disorder	A general term used to describe any disease affecting blood vessels]. It includes vascular abnormalities caused by degenerative, metabolic and inflammatory conditions, embolic diseases, coagulative disorders, and functional disorders such as posteri or reversible encephalopathy syndrome.	disease or disorder of vasculature; vasculature disease or disorder; vascular tissue disease; disorder of vasculature; disease of vasculature; vascular disorder; vasculature disease	mondo:otar; mondo:rare_grouping	ICD9:442.9; ICD10CM:I70-I79; DOID:178; SCTID:27550009; UMLS:C0042373; NCIT:C35117; ICD10CM:I00-I99; NANDO:2100294; EFO:0004264; MESH:D014652; MEDGEN:22621
MONDO:0004648	vascular dementia	A degenerative vascular disorder affecting the brain. It is caused by the blockage of the blood supply to the brain. It is manifested with decline of memory and cognitive functions.	vascular dementia	mondo:otar	MESH:D015140; MEDGEN:41447; UMLS:C0011269; ICD9:290.4; SCTID:429998004; DOID:8725; NCIT:C34525; EFO:0004718
MONDO:0002095	vascular cancer	A malignant neoplasm arising from the blood vessels.	pulmonary vein malignant neoplasm; malignant vascular tumor; malignant vascular tumour; malignant neoplasm of vasculature; malignant vascular neoplasm; vasculature cancer; malignant blood vessel tumour; pulmonary artery cancer; malignant blood vessel tumor; pulmonary artery malignant neoplasm; malignant blood vessel neoplasm; malignant vasculature neoplasm; cancer of vasculature	mondo:otar	DOID:175; UMLS:C1458139; MESH:D009383; NCIT:C8538; MEDGEN:264315
MONDO:0024499	vascular bone neoplasm	A benign, intermediate, or malignant vascular neoplasm that arises from the bone.	bone vascular neoplasm; osseous vascular neoplasm; bone vascular tumour; vascular tumour of bone; osseous vascular tumor; vascular neoplasm of bone; vascular tumor of bone; osseous vascular tumour; vascular tumour of the bone; vascular tumor of the bone; vascular bone neoplasm; bone vascular tumor; vascular neoplasm of the bone	mondo:gard_rare; mondo:rare; mondo:nord_rare	UMLS:C1336946; NCIT:C6478; MEDGEN:234986
MONDO:0005608	varicella zoster infection	A highly contagious viral infection caused by the varicella zoster virus. Clinically, it may be manifested as shingles or chicken pox.	Varicella-zoster Virus infection; varicella zoster infection	mondo:otar	ICD9:052.7; EFO:0006509; SCTID:309465005; UMLS:C0586989; MEDGEN:668886; NCIT:C96407
MONDO:0100036	variable age onset epilepsy	An epilepsy syndrome that has an onset during variable ages and stages of life.			DOID:0050706
MONDO:0037870	valine metabolism disease	A disease that has its basis in the disruption of valine metabolic process.	disorder of valine metabolism; disorder of valine metabolic process; valine metabolic process disease		MEDGEN:753614; UMLS:C2919304; SCTID:444756000
MONDO:0001608	vagus nerve neoplasm	A neoplasm involving a vagus nerve.	tumor of tenth cranial nerve; neoplasm of vagus nerve; Vagus nerve neoplasm; Vagus nerve tumours; tumor of the tenth cranial nerve; tenth cranial nerve neoplasms; tenth cranial nerve tumors; Xth cranial nerve neoplasms; vagus nerve tumor; tumour of tenth cranial nerve; tenth cranial nerve tumor; neoplasm of tenth cranial nerve; Vagus nerve tumors; neoplasm of the tenth cranial nerve; neoplasm of Vagus nerve; Xth cranial nerve tumors; Xth cranial nerve tumours; tenth cranial nerve neoplasm; vagus nerve neoplasm (disease); Vagus nerve tumor; Vagus nerve neoplasms; tumour of Vagus nerve; tumor of vagus nerve; tumour of vagus nerve; tumor of Vagus nerve; tenth cranial nerve tumour; tumour of the tenth cranial nerve; tenth cranial nerve tumours; vagus nerve tumour; tumor of the Vagus nerve; Vagus nerve tumour; neoplasm of the Vagus nerve; tumour of the Vagus nerve		SCTID:126976007; MEDGEN:224735; ICD9:239.7; UMLS:C1263901; DOID:12984; NCIT:C5831
MONDO:0001535	vagus nerve disorder	A disease involving the vagus nerve.	disease of vagus nerve; vagus nerve disease or disorder; disorder of pneumogastric [10th] nerve; disorder of vagus nerve; disease or disorder of vagus nerve; disorder of vagal nerve; vagus nerve disease; Vagus nerve disorder		MEDGEN:101824; DOID:12491; ICD9:352.3; MESH:D020421; NCIT:C27591; UMLS:C0152179; SCTID:73765005
MONDO:0002234	vaginitis	A non-infectious or infectious inflammatory process affecting the vagina.	vagina inflammation; vaginal inflammation; vaginitis (disease); vaginal Inflammation; inflammation of vagina; vaginitis	mondo:otar	UMLS:C0042267; MEDGEN:21815; MESH:D014627; ICD9:616.10; DOID:2170; NCIT:C26911; HP:0030683; ICD9:616.1; SCTID:30800001
MONDO:0001806	vaginal squamous tumor	A benign or malignant neoplasm that arises from the squamous epithelium of the vagina. Representative examples include condyloma acuminatum, squamous papilloma, and squamous cell carcinoma.	vagina squamous cell neoplasm; vaginal squamous neoplasm; vaginal squamous tumor		DOID:138; NCIT:C40242; UMLS:C1519931; MEDGEN:274381
MONDO:0021050	vaginal neoplasm	A benign or malignant neoplasm affecting the vagina. Representative examples of benign neoplasms include squamous papilloma and melanocytic nevus. Representative examples of malignant neoplasms include carcinoma, melanoma, and sarcoma.	vagina tumour; tumor of the vagina; vaginal tumor; vagina neoplasm; vaginal neoplasm; vagina neoplasm (disease); tumour of vagina; neoplasm of the vagina; tumour of the vagina; tumor of vagina; neoplasm of vagina; vagina tumor; vaginal tumour	mondo:otar	UMLS:C0042258; ICD9:239.5; SCTID:126921000; MEDGEN:22608; NCIT:C3437; ONCOTREE:VULVA; EFO:1001447
MONDO:0001704	vaginal glandular neoplasm	A benign or malignant neoplasm that arises from the vagina and is characterized by the presence of neoplastic glandular epithelial cells. Representative examples include adenoma, endometrioid adenocarcinoma, and clear cell adenocarcinoma.	vaginal glandular tumor; vagina glandular cell neoplasm; vaginal glandular tumour; vaginal glandular neoplasm		DOID:134; UMLS:C1519921; MEDGEN:275574; NCIT:C40250
MONDO:0001433	vaginal disorder	A non-neoplastic or neoplastic disorder that affects the vagina. Representative examples include vaginal infection, vaginal polyp, and vaginal squamous cell carcinoma.	disease or disorder of vagina; vaginal disease; disorder of vagina; disease of vagina; vaginal disorder; vagina disease or disorder; vagina disease	mondo:otar	SCTID:25658005; NCIT:C26910; UMLS:C0042251; DOID:121; MEDGEN:12042; MESH:D014623
MONDO:0002770	vaginal discharge	Normal or abnormal secretions from the vagina. Mucus produced by the cervical glands is discharged from the vagina naturally, especially during the childbearing years. Causes of abnormal vaginal discharge include infectious agents (e.g., Neisseria gonorrhea, Chlamydia trachomatis, Trichomonas, and Candida albicans), the presence of foreign bodies, and cervical or vaginal cancer.	Discharge, vaginal		NCIT:C50795; UMLS:C0227791; MEDGEN:65302; DOID:3767; MESH:D019522
MONDO:0001402	vaginal cancer	A primary or metastatic malignant neoplasm involving the vagina. Representative examples include carcinomas and sarcomas.	malignant vaginal tumour; malignant tumour of the vagina; malignant tumour of vagina; malignant vagina tumor; cancer of vagina; malignant vaginal neoplasm; malignant tumor of vagina; malignant vagina neoplasm; malignant tumor of the vagina; malignant vaginal tumor; malignant vagina tumour; malignant neoplasm of the vagina; malignant neoplasm of vagina; vagina cancer	mondo:otar	UMLS:C0042237; ICD9:184.0; NCIT:C7410; MESH:D014625; SCTID:363445000; MEDGEN:12040; DOID:119
MONDO:0003434	vaginal adenoma	A glandular epithelial neoplasm that arises from the vagina and shows intestinal differentiation.	vaginal adenoma; vagina adenoma		DOID:5402; MEDGEN:274377; NCIT:C40256; UMLS:C1519913
MONDO:0020653	vaginal adenocarcinoma	An adenocarcinoma arising from the vagina. Morphologic variants include the clear cell, endometrioid, mesonephric, and mucinous adenocarcinoma.	adenocarcinoma of the vagina; vagina adenocarcinoma; vaginal adenocarcinoma; adenocarcinoma of vagina	mondo:gard_rare; mondo:rare	UMLS:C0279668; MEDGEN:124643; ONCOTREE:VA; NCIT:C7981
MONDO:0002140	vagina sarcoma	A malignant mesenchymal neoplasm that arises from the vagina. Representative examples include botryoid-type embryonal rhabdomyosarcoma, leiomyosarcoma, and endometrioid stromal sarcoma.	vagina sarcoma; sarcoma of the vagina; vaginal sarcoma; sarcoma of vagina	mondo:gard_rare; mondo:rare	NCIT:C7737; DOID:1901; UMLS:C0238519; MEDGEN:65971
MONDO:0020283	uveitis	An inflammatory process affecting a part of or the entire uvea. Causes include inflammatory agents (e.g., herpes simplex, herpes zoster, leptospirosis) and systemic diseases (e.g., inflammatory bowel disease, multiple sclerosis, systemic lupus erythematosus, ankylosing spondylitis). Patients present with pain and redness in the eye, light sensitivity, and blurred and decreased vision.	uveitis (disease); uvea inflammation; inflammation of uvea; uveitis	mondo:disease_grouping; mondo:otar; mondo:rare; mondo:ordo_group_of_disorders; mondo:gard_rare	MedDRA:10046851; MESH:D014605; Orphanet:98715; DOID:13141; SCTID:128473001; UMLS:C0042164; HP:0000554; EFO:1001231; GARD:19549; NCIT:C26909; MEDGEN:52961
MONDO:0002661	uveal disorder	A non-neoplastic or neoplastic disorder that affects the uvea. Representative examples include uveitis, chorioretinitis, and uveal melanoma.	disorder of uvea; uvea disease; uveal disease; disease of uvea; uveal disorder; uvea disease or disorder; uveal tract disease; disease or disorder of uvea		DOID:3480; MEDGEN:21804; MESH:D014603; UMLS:C0042161; NCIT:C26908; SCTID:95678007
MONDO:0002659	uveal cancer	A primary or metastatic malignant neoplasm that affects the choroid, ciliary body, or iris.	malignant tumor of uvea; cancer of uvea; malignant tumor of the uvea; malignant uveal neoplasm; malignant uvea neoplasm; malignant uvea tumor; malignant neoplasm of uvea; uvea cancer; malignant uveal tumour; malignant uveal tumor; malignant tumour of the uvea; malignant uvea tumour; malignant tumour of uvea; malignant neoplasm of the uvea	mondo:otar	EFO:1001230; MEDGEN:1772018; NCIT:C6105; UMLS:C3665670; DOID:3479
MONDO:0021225	uvea neoplasm	A neoplasm (disease) that involves the uvea.	uvea tumour; neoplasm of the uvea; neoplasm of uvea; uvea tumor; tumour of uvea; tumor of uvea; uveal neoplasm; uvea neoplasm (disease); uveal tumor; tumor of the uvea; uveal tumour; tumour of the uvea	mondo:otar	NCIT:C3436; UMLS:C0042162; MEDGEN:52960
MONDO:0004710	uterus carcinoma in situ	A carcinoma in situ involving a uterus.	stage 0 uterus carcinoma; uterus in situ carcinoma; carcinoma in situ of uterus	mondo:otar	MEDGEN:673127; DOID:9108; SCTID:92788005; ICD9:233.2; UMLS:C0686237
MONDO:0021629	uterine ligament neoplasm	A benign, borderline, or malignant neoplasm that affects the uterine ligaments. Representative examples include Wolffian adnexal tumor, papillary cystadenoma, and adenocarcinoma.	tumor of uterine ligament; tumour of the uterine ligament; neoplasm of uterine ligament; tumour of uterine ligament; uterine ligament neoplasm (disease); tumor of the uterine ligament; neoplasm of the uterine ligament; uterine ligament tumour; uterine ligament neoplasm; uterine ligament tumor		NCIT:C40133; UMLS:C1519870; MEDGEN:276942
MONDO:0003612	uterine ligament cancer	A primary or metastatic malignant neoplasm that affects the uterine ligament.	uterine ligament cancer; cancer of uterine ligament; malignant uterine ligament neoplasm; malignant neoplasm of uterine ligament		DOID:5727; NCIT:C126498; UMLS:C0864950; MEDGEN:923070
MONDO:0002741	uterine ligament adenocarcinoma	A rare adenocarcinoma that arises from the uterine ligament.	uterine ligament adenocarcinoma	mondo:rare; mondo:gard_rare	UMLS:C1519866; MEDGEN:311429; DOID:3700; NCIT:C40135
MONDO:0001786	uterine inflammatory disease		inflammatory disease of the uterus	mondo:otar	MEDGEN:541692; UMLS:C0269047; ICD9:615.9; DOID:13736; EFO:0009572; SCTID:28783002
MONDO:0002654	uterine disorder	A non-neoplastic or neoplastic disorder that affects the uterine corpus or the cervix. Representative examples of non-neoplastic disorders include endometritis and cervicitis. Representative examples of neoplastic disorders include endometrial carcinoma, carcinosarcoma, and cervical carcinoma.	disease of uterus; uterus disease or disorder; disorder of uterus; uterine disorder; disease or disorder of uterus; uterus disease; uterine disease	mondo:otar	ICD9:621.9; ICD9:621.8; MESH:D014591; MEDGEN:22590; DOID:345; SCTID:12337004; UMLS:C0042131; NCIT:C26907
